Filename,Internal_Power_mW,Switching_Power_mW,Leakage_Power_mW,Total_Power_mW,Record_Type,Pin_Name,Pin_Direction,Rise_Slew_ns,Fall_Slew_ns
slew_change1.rpt,0.00122089,0.00056161,6.704e-05,0.00184954,Slew,0.89999998,Input,0.26666665,0.26666665
slew_change1.rpt,0.00122089,0.00056161,6.704e-05,0.00184954,Slew,0.89999998,Input,0.26666665,0.26666665
slew_change1.rpt,0.00122089,0.00056161,6.704e-05,0.00184954,Slew,0.89999998,Input,0.26666665,0.26666665
slew_change1.rpt,0.00122089,0.00056161,6.704e-05,0.00184954,Slew,0.89999998,Output,0.16933333,0.16066666
slew_change1.rpt,0.00122089,0.00056161,6.704e-05,0.00184954,Slew,0.89999998,Output,0.12973333,0.12386667
slew_change10.rpt,0.00124994,0.00056161,6.704e-05,0.00187859,Slew,0.89999998,Output,0.1352,0.13039999
slew_change10.rpt,0.00124994,0.00056161,6.704e-05,0.00187859,Slew,0.89999998,Input,0.46253327,0.46253327
slew_change10.rpt,0.00124994,0.00056161,6.704e-05,0.00187859,Slew,0.89999998,Output,0.17666665,0.16653332
slew_change10.rpt,0.00124994,0.00056161,6.704e-05,0.00187859,Slew,0.89999998,Input,0.46253327,0.46253327
slew_change10.rpt,0.00124994,0.00056161,6.704e-05,0.00187859,Slew,0.89999998,Input,0.46253327,0.46253327
slew_change11.rpt,0.00125485,0.00056161,6.704e-05,0.0018835,Slew,0.89999998,Input,0.48439996,0.48439996
slew_change11.rpt,0.00125485,0.00056161,6.704e-05,0.0018835,Slew,0.89999998,Input,0.48439996,0.48439996
slew_change11.rpt,0.00125485,0.00056161,6.704e-05,0.0018835,Slew,0.89999998,Input,0.48439996,0.48439996
slew_change11.rpt,0.00125485,0.00056161,6.704e-05,0.0018835,Slew,0.89999998,Output,0.17759999,0.16733332
slew_change11.rpt,0.00125485,0.00056161,6.704e-05,0.0018835,Slew,0.89999998,Output,0.13586665,0.13119999
slew_change12.rpt,0.00125974,0.00056161,6.704e-05,0.00188839,Slew,0.89999998,Output,0.13639999,0.13186665
slew_change12.rpt,0.00125974,0.00056161,6.704e-05,0.00188839,Slew,0.89999998,Output,0.17839998,0.16813333
slew_change12.rpt,0.00125974,0.00056161,6.704e-05,0.00188839,Slew,0.89999998,Input,0.50613328,0.50613328
slew_change12.rpt,0.00125974,0.00056161,6.704e-05,0.00188839,Slew,0.89999998,Input,0.50613328,0.50613328
slew_change12.rpt,0.00125974,0.00056161,6.704e-05,0.00188839,Slew,0.89999998,Input,0.50613328,0.50613328
slew_change13.rpt,0.00126462,0.00056161,6.704e-05,0.00189327,Slew,0.89999998,Input,0.52786665,0.52786665
slew_change13.rpt,0.00126462,0.00056161,6.704e-05,0.00189327,Slew,0.89999998,Input,0.52786665,0.52786665
slew_change13.rpt,0.00126462,0.00056161,6.704e-05,0.00189327,Slew,0.89999998,Input,0.52786665,0.52786665
slew_change13.rpt,0.00126462,0.00056161,6.704e-05,0.00189327,Slew,0.89999998,Output,0.17919998,0.16893332
slew_change13.rpt,0.00126462,0.00056161,6.704e-05,0.00189327,Slew,0.89999998,Output,0.13706665,0.13253332
slew_change14.rpt,0.00126951,0.00056161,6.704e-05,0.00189816,Slew,0.89999998,Input,0.54959998,0.54959998
slew_change14.rpt,0.00126951,0.00056161,6.704e-05,0.00189816,Slew,0.89999998,Input,0.54959998,0.54959998
slew_change14.rpt,0.00126951,0.00056161,6.704e-05,0.00189816,Slew,0.89999998,Input,0.54959998,0.54959998
slew_change14.rpt,0.00126951,0.00056161,6.704e-05,0.00189816,Slew,0.89999998,Output,0.18013333,0.16986666
slew_change14.rpt,0.00126951,0.00056161,6.704e-05,0.00189816,Slew,0.89999998,Output,0.13773333,0.13333333
slew_change15.rpt,0.00127442,0.00056161,6.704e-05,0.00190307,Slew,0.89999998,Output,0.13826666,0.13399999
slew_change15.rpt,0.00127442,0.00056161,6.704e-05,0.00190307,Slew,0.89999998,Output,0.18106666,0.17079998
slew_change15.rpt,0.00127442,0.00056161,6.704e-05,0.00190307,Slew,0.89999998,Input,0.57146666,0.57146666
slew_change15.rpt,0.00127442,0.00056161,6.704e-05,0.00190307,Slew,0.89999998,Input,0.57146666,0.57146666
slew_change15.rpt,0.00127442,0.00056161,6.704e-05,0.00190307,Slew,0.89999998,Input,0.57146666,0.57146666
slew_change16.rpt,0.00127931,0.00056161,6.704e-05,0.00190796,Slew,0.89999998,Input,0.59319999,0.59319999
slew_change16.rpt,0.00127931,0.00056161,6.704e-05,0.00190796,Slew,0.89999998,Input,0.59319999,0.59319999
slew_change16.rpt,0.00127931,0.00056161,6.704e-05,0.00190796,Slew,0.89999998,Input,0.59319999,0.59319999
slew_change16.rpt,0.00127931,0.00056161,6.704e-05,0.00190796,Slew,0.89999998,Output,0.18199999,0.17186667
slew_change16.rpt,0.00127931,0.00056161,6.704e-05,0.00190796,Slew,0.89999998,Output,0.13893332,0.13466666
slew_change17.rpt,0.00128419,0.00056161,6.704e-05,0.00191284,Slew,0.89999998,Input,0.61493331,0.61493331
slew_change17.rpt,0.00128419,0.00056161,6.704e-05,0.00191284,Slew,0.89999998,Input,0.61493331,0.61493331
slew_change17.rpt,0.00128419,0.00056161,6.704e-05,0.00191284,Slew,0.89999998,Input,0.61493331,0.61493331
slew_change17.rpt,0.00128419,0.00056161,6.704e-05,0.00191284,Slew,0.89999998,Output,0.18306665,0.17306666
slew_change17.rpt,0.00128419,0.00056161,6.704e-05,0.00191284,Slew,0.89999998,Output,0.13959999,0.13546665
slew_change18.rpt,0.00128911,0.00056161,6.704e-05,0.00191776,Slew,0.89999998,Output,0.14026666,0.13613333
slew_change18.rpt,0.00128911,0.00056161,6.704e-05,0.00191776,Slew,0.89999998,Output,0.18413332,0.17439998
slew_change18.rpt,0.00128911,0.00056161,6.704e-05,0.00191776,Slew,0.89999998,Input,0.63679995,0.63679995
slew_change18.rpt,0.00128911,0.00056161,6.704e-05,0.00191776,Slew,0.89999998,Input,0.63679995,0.63679995
slew_change18.rpt,0.00128911,0.00056161,6.704e-05,0.00191776,Slew,0.89999998,Input,0.63679995,0.63679995
slew_change19.rpt,0.00129399,0.00056161,6.704e-05,0.00192264,Slew,0.89999998,Input,0.65853328,0.65853328
slew_change19.rpt,0.00129399,0.00056161,6.704e-05,0.00192264,Slew,0.89999998,Input,0.65853328,0.65853328
slew_change19.rpt,0.00129399,0.00056161,6.704e-05,0.00192264,Slew,0.89999998,Input,0.65853328,0.65853328
slew_change19.rpt,0.00129399,0.00056161,6.704e-05,0.00192264,Slew,0.89999998,Output,0.18519999,0.17573332
slew_change19.rpt,0.00129399,0.00056161,6.704e-05,0.00192264,Slew,0.89999998,Output,0.14093332,0.13693332
slew_change2.rpt,0.00122355,0.00056161,6.704e-05,0.0018522,Slew,0.89999998,Input,0.28839998,0.28839998
slew_change2.rpt,0.00122355,0.00056161,6.704e-05,0.0018522,Slew,0.89999998,Input,0.28839998,0.28839998
slew_change2.rpt,0.00122355,0.00056161,6.704e-05,0.0018522,Slew,0.89999998,Input,0.28839998,0.28839998
slew_change2.rpt,0.00122355,0.00056161,6.704e-05,0.0018522,Slew,0.89999998,Output,0.16999998,0.16093332
slew_change2.rpt,0.00122355,0.00056161,6.704e-05,0.0018522,Slew,0.89999998,Output,0.13013332,0.12453333
slew_change20.rpt,0.00129888,0.00056161,6.704e-05,0.00192753,Slew,0.89999998,Output,0.14159999,0.1376
slew_change20.rpt,0.00129888,0.00056161,6.704e-05,0.00192753,Slew,0.89999998,Output,0.18626666,0.17706665
slew_change20.rpt,0.00129888,0.00056161,6.704e-05,0.00192753,Slew,0.89999998,Input,0.68026665,0.68026665
slew_change20.rpt,0.00129888,0.00056161,6.704e-05,0.00192753,Slew,0.89999998,Input,0.68026665,0.68026665
slew_change20.rpt,0.00129888,0.00056161,6.704e-05,0.00192753,Slew,0.89999998,Input,0.68026665,0.68026665
slew_change21.rpt,0.00130376,0.00056161,6.704e-05,0.00193241,Slew,0.89999998,Input,0.70199993,0.70199993
slew_change21.rpt,0.00130376,0.00056161,6.704e-05,0.00193241,Slew,0.89999998,Input,0.70199993,0.70199993
slew_change21.rpt,0.00130376,0.00056161,6.704e-05,0.00193241,Slew,0.89999998,Input,0.70199993,0.70199993
slew_change21.rpt,0.00130376,0.00056161,6.704e-05,0.00193241,Slew,0.89999998,Output,0.18733332,0.17853332
slew_change21.rpt,0.00130376,0.00056161,6.704e-05,0.00193241,Slew,0.89999998,Output,0.14226667,0.13839999
slew_change22.rpt,0.00130868,0.00056161,6.704e-05,0.00193733,Slew,0.89999998,Input,0.72386666,0.72386666
slew_change22.rpt,0.00130868,0.00056161,6.704e-05,0.00193733,Slew,0.89999998,Input,0.72386666,0.72386666
slew_change22.rpt,0.00130868,0.00056161,6.704e-05,0.00193733,Slew,0.89999998,Input,0.72386666,0.72386666
slew_change22.rpt,0.00130868,0.00056161,6.704e-05,0.00193733,Slew,0.89999998,Output,0.18853331,0.17999999
slew_change22.rpt,0.00130868,0.00056161,6.704e-05,0.00193733,Slew,0.89999998,Output,0.14293332,0.1392
slew_change23.rpt,0.00131356,0.00056161,6.704e-05,0.00194221,Slew,0.89999998,Output,0.14359999,0.13986667
slew_change23.rpt,0.00131356,0.00056161,6.704e-05,0.00194221,Slew,0.89999998,Output,0.18959997,0.18146665
slew_change23.rpt,0.00131356,0.00056161,6.704e-05,0.00194221,Slew,0.89999998,Input,0.74559998,0.74559998
slew_change23.rpt,0.00131356,0.00056161,6.704e-05,0.00194221,Slew,0.89999998,Input,0.74559998,0.74559998
slew_change23.rpt,0.00131356,0.00056161,6.704e-05,0.00194221,Slew,0.89999998,Input,0.74559998,0.74559998
slew_change24.rpt,0.00131845,0.00056161,6.704e-05,0.0019471,Slew,0.89999998,Input,0.76733326,0.76733326
slew_change24.rpt,0.00131845,0.00056161,6.704e-05,0.0019471,Slew,0.89999998,Input,0.76733326,0.76733326
slew_change24.rpt,0.00131845,0.00056161,6.704e-05,0.0019471,Slew,0.89999998,Input,0.76733326,0.76733326
slew_change24.rpt,0.00131845,0.00056161,6.704e-05,0.0019471,Slew,0.89999998,Output,0.19079999,0.18306665
slew_change24.rpt,0.00131845,0.00056161,6.704e-05,0.0019471,Slew,0.89999998,Output,0.14426666,0.14066666
slew_change25.rpt,0.00132333,0.00056161,6.704e-05,0.00195198,Slew,0.89999998,Input,0.78906654,0.78906654
slew_change25.rpt,0.00132333,0.00056161,6.704e-05,0.00195198,Slew,0.89999998,Input,0.78906654,0.78906654
slew_change25.rpt,0.00132333,0.00056161,6.704e-05,0.00195198,Slew,0.89999998,Input,0.78906654,0.78906654
slew_change25.rpt,0.00132333,0.00056161,6.704e-05,0.00195198,Slew,0.89999998,Output,0.19199998,0.1848
slew_change25.rpt,0.00132333,0.00056161,6.704e-05,0.00195198,Slew,0.89999998,Output,0.14506666,0.14146666
slew_change26.rpt,0.00132825,0.00056161,6.704e-05,0.0019569,Slew,0.89999998,Output,0.19319998,0.18653331
slew_change26.rpt,0.00132825,0.00056161,6.704e-05,0.0019569,Slew,0.89999998,Output,0.14613333,0.14266666
slew_change26.rpt,0.00132825,0.00056161,6.704e-05,0.0019569,Slew,0.89999998,Input,0.81093332,0.81093332
slew_change26.rpt,0.00132825,0.00056161,6.704e-05,0.0019569,Slew,0.89999998,Input,0.81093332,0.81093332
slew_change26.rpt,0.00132825,0.00056161,6.704e-05,0.0019569,Slew,0.89999998,Input,0.81093332,0.81093332
slew_change27.rpt,0.00133313,0.00056161,6.704e-05,0.00196178,Slew,0.89999998,Input,0.8326666,0.8326666
slew_change27.rpt,0.00133313,0.00056161,6.704e-05,0.00196178,Slew,0.89999998,Input,0.8326666,0.8326666
slew_change27.rpt,0.00133313,0.00056161,6.704e-05,0.00196178,Slew,0.89999998,Input,0.8326666,0.8326666
slew_change27.rpt,0.00133313,0.00056161,6.704e-05,0.00196178,Slew,0.89999998,Output,0.19426664,0.18786667
slew_change27.rpt,0.00133313,0.00056161,6.704e-05,0.00196178,Slew,0.89999998,Output,0.14706665,0.14373333
slew_change28.rpt,0.00133802,0.00056161,6.704e-05,0.00196667,Slew,0.89999998,Input,0.85439997,0.85439997
slew_change28.rpt,0.00133802,0.00056161,6.704e-05,0.00196667,Slew,0.89999998,Input,0.85439997,0.85439997
slew_change28.rpt,0.00133802,0.00056161,6.704e-05,0.00196667,Slew,0.89999998,Input,0.85439997,0.85439997
slew_change28.rpt,0.00133802,0.00056161,6.704e-05,0.00196667,Slew,0.89999998,Output,0.19533334,0.18906666
slew_change28.rpt,0.00133802,0.00056161,6.704e-05,0.00196667,Slew,0.89999998,Output,0.14786665,0.14466665
slew_change29.rpt,0.0013429,0.00056161,6.704e-05,0.00197155,Slew,0.89999998,Output,0.14879999,0.14559999
